X,Y,bemerkung,befundtyp,geometry_p,befundnumm,flaeche_id,befundart,befundtyp2,befund_id,kultur,abschnitt,epoche,bs_AZ,BOARTSTDKL,Bodenklass,BodTyp_T,AEPOT_K,bofu_AZ,reclass_ex,dgm10doarf,hoehe_uebe,neig20,X,Y
4500670.1008693008,5733329.6686,Bezug zu Bef. 34?,Grube,3713,290,520000,Siedlung,Grube,16925,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.61044,1.58062,0.27355,4500670.100869300800000,5733329.668600000400000
4500671.4112234442,5733330.5622642096,Bezug zu Bef. 34?,Grube,3714,291,520000,Siedlung,Grube,16926,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.61044,1.58062,0.27355,4500671.411223444200000,5733330.562264209600000
4500663.762491772,5733337.5084499996,,Pfostengrube,3715,270,520000,Siedlung,Pfostengrube,16927,Saalemündungsgruppe,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.55478,1.56212,0.27355,4500663.762491772000000,5733337.508449999600000
4500673.0468963273,5733337.9063499998,Dat.: Kugelamphorenkultur?,Grabgrube,3722,277,520000,Graeberfeld,Grabbefund,16934,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.55692,1.58382,0.27355,4500673.046896327300000,5733337.906349999800000
4500676.1622155774,5733337.4437,,Urne,3716,271,520000,Graeberfeld,Urne,16928,Saalemündungsgruppe,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.54506,1.59222,0.27355,4500676.162215577400000,5733337.443699999700000
4500681.019224802,5733334.738,,Brandbestattung,3717,272,520000,Graeberfeld,Brandbestattung,16929,Saalemündungsgruppe,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.60891,1.59872,0.28840,4500681.019224802000000,5733334.737999999900000
4500681.1177007398,5733338.0589,,Tierbestattung,3718,273,520000,unklar,Tierbestattung,16930,Kugelamphorenkultur,mittel,Neolithikum,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.54506,1.59222,0.28840,4500681.117700739800000,5733338.058899999600000
4500683.0101313861,5733341.314099999,Bef.typ nicht eindeutig,Grabgrube,3719,274,520000,Graeberfeld,Grabbefund,16931,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.54506,1.59222,0.41001,4500683.010131386100000,5733341.314099999100000
4500680.503659714,5733340.1469940869,,Pfostengrube,3720,275,520000,Siedlung,Pfostengrube,16932,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.54506,1.59222,0.41001,4500680.503659714000000,5733340.146994086900000
4500674.2708553104,5733332.67765,,Grube,3721,276,520000,Siedlung,Grube,16933,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.61044,1.58062,0.27355,4500674.270855310400000,5733332.677650000000000
4500648.7538485872,5733275.1157,"Beziehung zu Befund 103, -105, -140?",Pfostengrube,3733,104,520000,Siedlung,Pfostengrube,16945,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,4.00000,85.56853,1.27161,0.39922,4500648.753848587200000,5733275.115700000000000
4500676.1060267631,5733339.8000499997,Dat.: Kugelamphorenkultur,Grabgrube,3723,278,520000,Graeberfeld,Grabbefund,16935,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.54506,1.59222,0.27355,4500676.106026763100000,5733339.800050000700000
4500665.29639534,5733329.9734499995,,Grube,3724,279,520000,Siedlung,Grube,16936,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.61044,1.58062,0.27355,4500665.296395340000000,5733329.973449999500000
4500911.52788876,5733434.4822,,Grube,3725,1780,520000,Siedlung,Grube,16937,,spaet,Bronzezeit,62.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,83.81129,1.20138,1.24412,4500911.527888760000000,5733434.482199998600000
4500911.52788876,5733434.4822,,Grube,3725,1780,520000,Siedlung,Grube,16937,,,Eisenzeit,62.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,83.81129,1.20138,1.24412,4500911.527888760000000,5733434.482199998600000
4500906.7645675577,5733434.79165,,Grube,3726,1781,520000,Siedlung,Grube,16938,,spaet,Bronzezeit,62.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,83.81129,1.20138,1.24412,4500906.764567557700000,5733434.791650000000000
4500906.7645675577,5733434.79165,,Grube,3726,1781,520000,Siedlung,Grube,16938,,,Eisenzeit,62.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,83.81129,1.20138,1.24412,4500906.764567557700000,5733434.791650000000000
