"";"geometry_p.key";"befundnummer";"befund_id";"flaeche_id";"befundtyp";"befundart";"epoche";"abschnitt";"kultur";"dgm10doarf";"Hoehe.ueber.tiefenlinie";"neigung";"az";"aepot";"bodenklasse";"bodentyp";"area";"X";"Y"
"191";3782;1004;16994;520000;"Grube";"Siedlung";"undat.";NA;NA;85,53808;1,15293;0,39922;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,24;4500634,002;5733270,683
"192";3783;1281;16995;520000;"Grube";"Siedlung";"undat.";NA;NA;85,16874;1,38176;0,60753;81;3;"Stauwasserbden";"Humuspseudogley";0,627;4500676,98;5733362,42
"193";3785;1282;16997;520000;"Grube";"Siedlung";"undat.";NA;NA;85,00299;1,26904;0,60753;81;3;"Stauwasserbden";"Humuspseudogley";0,779;4500677,954;5733366,253
"194";3786;879;16998;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;85,45328;1,284;0,13594;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,125;4500585,306;5733329,258
"195";3787;1289;16999;520000;"Grube";"Siedlung";"undat.";NA;NA;85,11143;1,37731;0,92382;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,436;4500625,405;5733403,244
"196";3788;1288;17000;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;85,11143;1,37731;0,92382;81;3;"Stauwasserbden";"Humuspseudogley";0,111;4500630,621;5733403,375
"197";3789;1579;17001;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;83,9025;0,56759;0,61265;81;3;"Stauwasserbden";"Humuspseudogley";0,131;4500693,273;5733454,482
"198";3790;1578;17002;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;83,86653;0,55991;0,61265;81;3;"Stauwasserbden";"Humuspseudogley";0,225;4500696,866;5733452,964
"199";3908;549;17120;520000;"Grube";"Siedlung";"undat.";NA;NA;84,16032;0,71564;0,61265;81;3;"Stauwasserbden";"Humuspseudogley";0,299;4500684,998;5733444,287
"200";3791;687;17003;520000;"Graben";"unklar";"undat.";NA;NA;85,54778;1,25364;0,28057;81;5;"Schwarzerden";"Braunerde-Tschernosem";2,289;4500686,731;5733269,622
"201";3792;686;17004;520000;"Grube";"Siedlung";"undat.";NA;NA;85,56213;1,34789;0,43211;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,443;4500705,239;5733275,554
"202";3793;681;17005;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;85,61044;1,58062;0,27355;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,1;4500666,183;5733329,39
"203";3795;683;17007;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;85,56213;1,34789;0,43211;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,289;4500702,922;5733275,873
"204";3796;682;17008;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;85,53488;1,25703;0,43211;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,088;4500707,78;5733271,105
"205";3797;622;17009;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;85,21961;1,36719;0,4788;81;3;"Stauwasserbden";"Humuspseudogley";1,178;4500712,138;5733348,745
"206";3798;621;17010;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;85,38512;1,47501;0,4788;81;3;"Stauwasserbden";"Humuspseudogley";0,092;4500708,937;5733344,48
"207";3799;873;17011;520000;"Grube";"Siedlung";"undat.";NA;NA;85,44064;1,30919;0,19799;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,242;4500575,082;5733340,327
"208";3800;1224;17012;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,48956;0,93423;0,93819;81;3;"Stauwasserbden";"Humuspseudogley";0,158;4500654,781;5733432,195
"209";3801;627;17013;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,71825;0,80146;0,68539;81;3;"Stauwasserbden";"Humuspseudogley";0,117;4500749,616;5733319,78
"210";3802;1222;17014;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,48956;0,93423;0,93819;81;3;"Stauwasserbden";"Humuspseudogley";0,16;4500654,166;5733432,37
"211";3803;625;17015;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,98298;1,08167;0,51175;81;3;"Stauwasserbden";"Humuspseudogley";0,061;4500726,301;5733327,995
"212";3807;403;17019;520000;"Grube";"Siedlung";"undat.";NA;NA;84,53391;0,9264;0,6911;81;3;"Stauwasserbden";"Humuspseudogley";0,49;4500732,471;5733379,454
"213";3808;402;17020;520000;"Grube";"Siedlung";"undat.";NA;NA;84,53391;0,9264;0,75008;81;3;"Stauwasserbden";"Humuspseudogley";0,5;4500733,62;5733380,747
"214";3809;401;17021;520000;"Grube";"Siedlung";"undat.";NA;NA;84,53391;0,9264;0,75008;81;3;"Stauwasserbden";"Humuspseudogley";0,709;4500732,136;5733381,392
"215";3810;400;17022;520000;"Ofen";"Siedlung";"Neolithikum";"spaet";"Schnurkeramik";84,39982;0,85046;0,72153;81;3;"Stauwasserbden";"Humuspseudogley";5,646;4500745,802;5733379,609
"216";4112;1015;17324;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;85,56072;1,20493;0,39922;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,125;4500647,471;5733274,455
"217";3820;379;17032;520000;"Grube";"Siedlung";"undat.";NA;NA;84,32957;0,78351;0,68982;81;3;"Stauwasserbden";"Humuspseudogley";0,363;4500768,428;5733360,521
"218";3821;378;17033;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,32957;0,78351;0,781;81;3;"Stauwasserbden";"Humuspseudogley";0,127;4500769,792;5733357,25
"219";3822;371;17034;520000;"Grube";"Siedlung";"undat.";NA;NA;84,37408;0,797;0,72153;81;3;"Stauwasserbden";"Humuspseudogley";0,316;4500759,742;5733361,447
"220";3823;370;17035;520000;"Grube";"Siedlung";"undat.";NA;NA;84,37408;0,797;0,72153;81;3;"Stauwasserbden";"Humuspseudogley";0,4;4500759,879;5733360,064
"221";3824;373;17036;520000;"Grube";"Siedlung";"undat.";NA;NA;84,37408;0,797;0,71265;81;3;"Stauwasserbden";"Humuspseudogley";1,125;4500757,084;5733359,753
"222";3825;372;17037;520000;"Grube";"Siedlung";"undat.";NA;NA;84,37408;0,797;0,71265;81;3;"Stauwasserbden";"Humuspseudogley";0,813;4500759,025;5733358,306
"223";3826;375;17038;520000;"Grube";"Siedlung";"undat.";NA;NA;84,32957;0,78351;0,781;81;3;"Stauwasserbden";"Humuspseudogley";0,445;4500767,925;5733355,977
"224";4113;1016;17325;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;85,56072;1,20493;0,39922;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,078;4500647,92;5733274,151
"225";3828;377;17040;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,32957;0,78351;0,781;81;3;"Stauwasserbden";"Humuspseudogley";0,189;4500768,231;5733358,103
"226";3829;376;17041;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,32957;0,78351;0,781;81;3;"Stauwasserbden";"Humuspseudogley";0,162;4500768,341;5733356,823
"227";3830;393;17042;520000;"Grube";"Siedlung";"undat.";NA;NA;84,35255;0,83392;0,72153;81;3;"Stauwasserbden";"Humuspseudogley";0,445;4500757,107;5733370,732
"228";3831;392;17043;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,26856;0,56452;0,87042;81;3;"Stauwasserbden";"Humuspseudogley";0,137;4500784,505;5733337,125
"229";3833;390;17045;520000;"Grube";"Siedlung";"undat.";NA;NA;84,19707;0,52347;0,76914;81;3;"Stauwasserbden";"Humuspseudogley";1,441;4500789,284;5733343,992
"230";3834;397;17046;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,36189;0,69257;0,781;81;3;"Stauwasserbden";"Humuspseudogley";0,189;4500770,035;5733347,11
"231";3835;396;17047;520000;"Grube";"Siedlung";"undat.";NA;NA;84,36189;0,69257;0,781;81;3;"Stauwasserbden";"Humuspseudogley";0,291;4500773,275;5733348,602
"232";3836;395;17048;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,26114;0,62212;0,781;81;3;"Stauwasserbden";"Humuspseudogley";0,117;4500777,634;5733349,629
"233";3837;394;17049;520000;"Grubenhaus";"Siedlung";"Eisenzeit";"aelter";"Hausurnenkultur";84,26856;0,56452;0,87042;81;3;"Stauwasserbden";"Humuspseudogley";0,41;4500781,695;5733337,751
"234";3838;399;17050;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,35255;0,83392;0,72153;81;3;"Stauwasserbden";"Humuspseudogley";0,135;4500756,195;5733378,242
