geometry_p-key,befundnummer,befund_id,flaeche_id,befundtyp,befundart,epoche,abschnitt,kultur,dgm10doarf,Hoehe-ueber-tiefenlinie,neigung,az,aepot,bodenklasse,bodentyp,area,X,Y
4199,1133,17411,520000,Grube,Siedlung,undat.,,,"84,67403","0,98376","0,47880",81,3,Stauwasserbden,Humuspseudogley,"0,473","4500717,42000","5733359,43900"
4201,1131,17413,520000,Grube,Siedlung,undat.,,,"84,75813","0,97834","0,58489",81,3,Stauwasserbden,Humuspseudogley,"1,549","4500725,60100","5733354,44600"
4202,1130,17414,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,54388","0,90807","0,58489",81,3,Stauwasserbden,Humuspseudogley,"0,564","4500735,34600","5733356,17300"
4202,1130,17414,520000,Grube,Siedlung,Eisenzeit,,,"84,54388","0,90807","0,58489",81,3,Stauwasserbden,Humuspseudogley,"0,564","4500735,34600","5733356,17300"
4203,1137,17415,520000,Pfostengrube,Siedlung,undat.,,,"84,54388","0,90807","0,69110",81,3,Stauwasserbden,Humuspseudogley,"0,121","4500739,83400","5733363,97200"
4204,1136,17416,520000,Pfostengrube,Siedlung,undat.,,,"84,61459","0,95102","0,69110",81,3,Stauwasserbden,Humuspseudogley,"0,070","4500733,33900","5733362,15100"
4205,1135,17417,520000,Pfostengrube,Siedlung,undat.,,,"84,61459","0,95102","0,69110",81,3,Stauwasserbden,Humuspseudogley,"0,201","4500734,98400","5733360,15900"
4206,1134,17418,520000,Grube,Siedlung,undat.,,,"84,61459","0,95102","0,58489",81,3,Stauwasserbden,Humuspseudogley,"0,730","4500731,63600","5733357,27600"
4207,1276,17419,520000,Grube,Siedlung,undat.,,,"85,63531","1,47174","0,27355",81,5,Schwarzerden,Braunerde-Tschernosem,"0,203","4500663,08700","5733307,80800"
4208,519,17420,520000,Pfostengrube,Siedlung,undat.,,,"84,23382","0,79660","0,71519",81,3,Stauwasserbden,Humuspseudogley,"0,197","4500702,08500","5733433,27500"
4209,518,17421,520000,Graben,unklar,Bronzezeit,spaet,,"84,23382","0,79660","0,71519",81,3,Stauwasserbden,Humuspseudogley,"0,875","4500701,17800","5733430,59700"
4209,518,17421,520000,Graben,unklar,Eisenzeit,,,"84,23382","0,79660","0,71519",81,3,Stauwasserbden,Humuspseudogley,"0,875","4500701,17800","5733430,59700"
4210,1009,17422,520000,Grube,Siedlung,undat.,,,"85,53970","1,16914","0,39922",81,5,Schwarzerden,Braunerde-Tschernosem,"0,092","4500635,44700","5733271,98100"
4211,1008,17423,520000,Grube,Siedlung,undat.,,,"85,53970","1,16914","0,39922",81,5,Schwarzerden,Braunerde-Tschernosem,"0,549","4500636,58600","5733271,10300"
4212,511,17424,520000,Pfostengrube,Siedlung,undat.,,,"84,23382","0,79660","0,71519",81,3,Stauwasserbden,Humuspseudogley,"0,207","4500702,18400","5733427,99700"
4213,510,17425,520000,Pfostengrube,Siedlung,undat.,,,"84,23382","0,79660","0,71519",81,3,Stauwasserbden,Humuspseudogley,"0,242","4500702,78700","5733430,64500"
4214,513,17426,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,23382","0,79660","0,79268",81,3,Stauwasserbden,Humuspseudogley,"0,578","4500698,74100","5733425,82200"
4214,513,17426,520000,Grube,Siedlung,Eisenzeit,,,"84,23382","0,79660","0,79268",81,3,Stauwasserbden,Humuspseudogley,"0,578","4500698,74100","5733425,82200"
4215,512,17427,520000,Grube,Siedlung,undat.,,,"84,23382","0,79660","0,71519",81,3,Stauwasserbden,Humuspseudogley,"0,336","4500701,00300","5733425,95000"
4216,515,17428,520000,Pfostengrube,Siedlung,undat.,,,"84,23382","0,79660","0,71519",81,3,Stauwasserbden,Humuspseudogley,"0,141","4500702,15400","5733428,54400"
4217,514,17429,520000,Pfostengrube,Siedlung,undat.,,,"84,23382","0,79660","0,71519",81,3,Stauwasserbden,Humuspseudogley,"0,156","4500700,15300","5733426,73300"
4218,517,17430,520000,Pfostengrube,Siedlung,undat.,,,"84,23382","0,79660","0,71519",81,3,Stauwasserbden,Humuspseudogley,"0,203","4500700,02000","5733428,44300"
4219,516,17431,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,23382","0,79660","0,79268",81,3,Stauwasserbden,Humuspseudogley,"0,672","4500697,88100","5733427,53900"
4219,516,17431,520000,Grube,Siedlung,Eisenzeit,,,"84,23382","0,79660","0,79268",81,3,Stauwasserbden,Humuspseudogley,"0,672","4500697,88100","5733427,53900"
4220,1227,17432,520000,Grube,Siedlung,undat.,,,"84,48956","0,93423","0,93819",81,3,Stauwasserbden,Humuspseudogley,"0,334","4500654,55900","5733434,95800"
4221,1226,17433,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,34442","0,83302","0,93819",81,3,Stauwasserbden,Humuspseudogley,"0,484","4500653,19400","5733435,02400"
4221,1226,17433,520000,Grube,Siedlung,Eisenzeit,,,"84,34442","0,83302","0,93819",81,3,Stauwasserbden,Humuspseudogley,"0,484","4500653,19400","5733435,02400"
4222,1225,17434,520000,Grube,Siedlung,undat.,,,"84,48956","0,93423","0,93819",81,3,Stauwasserbden,Humuspseudogley,"0,545","4500652,65300","5733433,53400"
